Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,21108,"Millersville, MD",,499545,0.0496,0.1225,49.5,-0.0481,-0.2443,83,0.0506,0.3441,10,-0.1667,-0.4444,0,,-1,6,-0.25,-0.5,0,,,525626,0.0362,0.0082,49.5,-0.0481,-0.2443,0,0,0
1/1/2019 0:00,21111,"Monkton, MD",,608725,-0.0415,-0.0241,18,-0.1,-0.122,83.5,-0.0511,-0.2675,6,0.5,0.5,0,,,2,,0,0,,,676906,-0.0899,-0.1336,18,-0.1,-0.122,0,0,0
1/1/2019 0:00,21113,"Odenton, MD",,388182,0.0641,0.125,164.5,-0.015,0.5302,59.75,0.0127,-0.0205,44,-0.2667,0,8,1,,36,0.5,0.8,0,,,409917,0.0371,0.0872,164.5,-0.015,0.5302,0,0,0
1/1/2019 0:00,21114,"Crofton, MD",*,282450,-0.0587,,85.5,-0.0284,,65,0.215,,34,0.4167,0.4167,4,,1,16,0,0.6,0,,,329040,-0.0383,0.0967,85.5,-0.0284,0.4492,0,0,0
1/1/2019 0:00,21117,"Owings Mills, MD",,277050,0.0109,0.0266,141.5,-0.1627,-0.0208,77.25,0.0582,0.0842,38,-0.2083,-0.1739,2,-0.5,0,32,-0.2,-0.0588,0,,,449682,0.0817,0.0301,141.5,-0.1627,-0.0208,0,0,0
1/1/2019 0:00,21120,"Parkton, MD",,566975,-0.0054,0.0593,21,0.05,-0.16,101.75,0.2259,-0.3306,2,-0.5,0,0,,,0,,,0,,,554839,-0.0108,0.0659,21,0.05,-0.16,0,0,0
1/1/2019 0:00,21122,"Pasadena, MD",,349950,0,0.0204,207.5,-0.117,0.056,81,0.0385,-0.027,50,0.1364,-0.3902,6,,0,50,-0.0385,-0.2188,0,,,454706,0.0091,0.0592,207.5,-0.117,0.056,0,0,0
1/1/2019 0:00,21128,"Perry Hall, MD",*,370045,-0.0131,,54.5,-0.1066,-0.155,116.5,0.201,0.246,16,1,-0.1111,0,,,14,0.75,0.1667,0,,,441931,0.0254,0.0343,54.5,-0.1066,-0.155,0,0,0
1/1/2019 0:00,21131,"Phoenix, MD",,669975,-0.0277,0.2616,39,-0.0488,0.1143,68,-0.1053,-0.3645,12,0.5,1,0,,,6,0.5,0.5,0,,,723895,-0.0748,0.1019,39,-0.0488,0.1143,0,0,0
1/1/2019 0:00,21133,"Randallstown, MD",,238049.5,-0.0083,-0.0382,72,-0.04,0.0827,69.5,0.0373,-0.0142,28,0.1667,0.75,0,-1,-1,14,-0.4167,-0.4167,0,,,242234,-0.0147,-0.0444,72,-0.04,0.0827,0,0,0
