Month,CBSACode,CBSATitle,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,39580,"Raleigh, NC",46,,339050,-0.0026,0.0047,5878.5,-0.0505,0.1219,82.5,0.0577,0.0377,1974,0.4909,0.214,214,0.6719,-0.3313,1360,0.4407,0.5385,12.5,0.0417,0.7857,406810,-0.0068,0.0176,5891,-0.0503,0.1227,0.0021,0.0002,0.0008
1/1/2019 0:00,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",47,,174950,0,0.0938,1864.5,-0.1014,0.0749,73.5,0.097,-0.0265,668,-0.0176,0.1096,24,1,1,472,0.18,0.3258,15,-0.0625,0.5789,240733,-0.006,0.0737,1879.5,-0.1011,0.0777,0.008,0.0003,0.0026
1/1/2019 0:00,25540,"Hartford-West Hartford-East Hartford, CT",48,,259950,0,0,5294.5,-0.1097,0.0782,95.5,0.1105,0.073,1160,0.2946,-0.0085,38,1.375,0,838,0.1836,0.0096,1,-0.6667,,335373,0.0013,-0.0022,5295.5,-0.11,0.0784,0.0002,-0.0003,0.0002
1/1/2019 0:00,13820,"Birmingham-Hoover, AL",49,,219845,-0.0005,0.1066,5139.5,-0.0528,-0.0859,89.5,0.0407,-0.1311,1452,0.4756,0.1561,106,0.5588,-0.4301,856,0.3459,-0.0161,1,0,,287136,-0.0015,0.1029,5140.5,-0.0528,-0.0857,0.0002,0,0.0002
1/1/2019 0:00,40380,"Rochester, NY",50,,189275,0.0518,0.1833,2113.5,-0.1398,-0.0579,71.5,0.0362,0.0593,832,0.5294,0.0558,36,2,0.5,312,-0.2571,0.013,8.5,0.4167,0.2143,246144,0.0346,0.1042,2122,-0.1384,-0.0571,0.004,0.0016,0.0009
1/1/2019 0:00,46060,"Tucson, AZ",51,,280000,0.0034,0.0564,3454.5,-0.0116,-0.0926,63.5,0.0763,-0.0231,1668,0.5219,-0.0544,80,0.6667,-0.5062,1046,0.6656,0.0806,1685,-0.0382,-0.0112,395973,0.0143,0.0453,5139.5,-0.0205,-0.0674,0.4878,-0.0135,0.0402
1/1/2019 0:00,41620,"Salt Lake City, UT",52,*,393373,0.0216,0.0562,2647.5,-0.111,0.207,57.25,0.101,0.1225,1182,0.2961,0.0535,152,1.2353,-0.4154,726,0.0934,0.5852,1741.5,-0.1106,-0.1816,538022,0.0108,0.0325,4389,-0.1108,0.0156,0.6578,0.0003,-0.3123
1/1/2019 0:00,24340,"Grand Rapids-Wyoming, MI",53,,279950,0,0.0667,2229,-0.1034,0.1863,75.25,0.1231,-0.0099,774,0.1057,0.125,16,-0.2,-0.7037,524,0.065,0.4637,4,-0.3333,,342831,-0.0106,0.0116,2233,-0.1039,0.1884,0.0018,-0.0006,0.0018
1/1/2019 0:00,46140,"Tulsa, OK",54,*,210500,0.0021,0.0715,3756.5,-0.0632,-0.0785,70,0.0294,0.0072,1312,0.2285,0.0046,46,0.4375,-0.2069,826,0.1102,-0.0943,1390,-0.0246,555,284902,0.0086,0.0778,5146.5,-0.0531,0.2617,0.37,0.0147,0.3694
1/1/2019 0:00,10580,"Albany-Schenectady-Troy, NY",55,,294300,0.0292,0.082,3820,-0.0872,0.0598,100.5,0.0691,-0.0822,956,0.4142,0.2416,42,0.5,-0.3636,642,0.3375,0.2022,1634.5,-0.1078,-0.1076,338834,-0.0163,0.0338,5454.5,-0.0935,0.0034,0.4279,-0.0099,-0.0802
